State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
,,2016,,"2,897",32,,193,847,"1,825","17,888","2,992","11,575","3,321",
,LAS CRUCES,2015,"102,227",124,2,,15,33,74,"2,434",358,"1,957",119,3
,,2016,,126,2,,16,19,89,"2,351",377,"1,848",126,1
NEW YORK,AMHERST TOWN,2015,"120,207",55,0,7,,19,29,811,81,707,23,6
,,2016,,45,1,3,,15,26,953,79,857,17,2
,BUFFALO,2015,"258,096","1,291",12,81,,457,741,"4,904","1,040","3,379",485,70
,,2016,,"1,358",19,88,,468,783,"4,803","1,184","3,227",392,108
,NEW YORK,2015,"8,550,861","23,225",164,"1,081",,"7,599","14,381","60,298","6,410","50,526","3,362",
,,2016,,"23,543",159,"1,184",,"7,366","14,834","59,928","5,809","51,171","2,948",
,ROCHESTER,2015,"209,922",852,19,65,,287,481,"3,576",696,"2,503",377,44
,,2016,,879,16,72,,291,500,"3,583",677,"2,572",334,48
,SYRACUSE,2015,"144,027",530,10,34,,191,295,"2,361",530,"1,690",141,19
,,2016,,502,13,31,,149,309,"2,209",469,"1,576",164,24
,YONKERS,2015,"201,753",447,3,23,,161,260,960,194,625,141,6
,,2016,,464,4,21,,206,233,988,181,712,95,9
NORTH CAROLINA,CARY,2015,"160,291",31,2,,4,9,16,919,169,718,32,2
,,2016,,67,0,,9,24,34,852,126,699,27,4
,FAYETTEVILLE,2015,"204,731",453,13,,26,162,252,"3,907",871,"2,870",166,21
,,2016,,659,17,,46,147,449,"4,598",892,"3,520",186,28
,GREENSBORO,2015,"285,950",739,11,,35,217,476,"4,812","1,068","3,505",239,52
,,2016,,898,7,,41,252,598,"4,770","1,029","3,441",300,56
,HIGH POINT,2015,"109,669",309,2,,18,99,190,"1,683",333,"1,230",120,6
,,2016,,318,2,,16,74,226,"1,896",346,"1,463",87,5
,WILMINGTON,2015,"115,434",389,4,,29,127,229,"2,441",627,"1,655",159,4
,,2016,,409,5,,22,114,268,"2,348",659,"1,565",124,4
NORTH DAKOTA,FARGO,2015,"118,490",177,3,29,,21,124,"1,545",321,"1,107",117,4
,,2016,,215,1,39,,30,145,"1,737",251,"1,352",134,9
OHIO,AKRON,2015,"197,587",615,12,86,,203,314,"3,967","1,147","2,518",302,38
,,2016,,531,16,99,,181,235,"3,210",979,"1,982",249,43
,CINCINNATI,2015,"298,478","1,340",38,129,,607,566,"7,793","2,006","5,275",512,223
,,2016,,"1,268",32,128,,570,538,"7,064","1,843","4,716",505,
,COLUMBUS,2015,"847,745","2,338",39,409,,"1,100",790,"15,851","3,403","10,908","1,540",174
,,2016,,"2,124",40,395,,"1,018",671,"16,668","3,537","11,572","1,559",190
,DAYTON,2015,"140,683",663,10,75,,235,343,"3,254","1,110","1,857",287,53
,,2016,,573,9,44,,202,318,"3,354",977,"2,030",347,7
OKLAHOMA,BROKEN ARROW,2015,"106,145",74,0,21,,19,34,897,168,649,80,2
,,2016,,73,1,11,,21,40,"1,016",166,783,67,3
,OKLAHOMA CITY,2015,"630,621","2,399",30,242,,544,"1,583","11,795","2,796","7,554","1,445",47
,,2016,,"2,462",30,227,,547,"1,658","12,436","2,649","8,381","1,406",47
,TULSA,2015,"401,520","1,658",27,160,,410,"1,061","9,445","2,473","5,811","1,161",80
,,2016,,"2,064",28,226,,455,"1,355","11,532","2,681","7,179","1,672",92
OREGON,EUGENE,2015,"161,608",251,0,41,,77,133,"2,988",524,"2,237",227,20
,,2016,,285,2,42,,58,183,"2,941",468,"2,163",310,29
,SALEM,2015,"163,320",252,2,20,,50,180,"3,339",339,"2,673",327,13
,,2016,,238,4,17,,61,156,"3,339",533,"2,510",296,13
PENNSYLVANIA,ALLENTOWN,2015,"119,335",231,4,24,,113,90,"1,389",282,"1,019",88,11
,,2016,,257,6,23,,122,106,"1,547",331,"1,083",133,11
,ERIE,2015,"98,887",218,3,25,,59,131,"1,207",292,856,59,14
,,2016,,176,6,18,,58,94,959,223,697,39,19
,PHILADELPHIA,2015,"1,567,810","7,648",115,679,,"3,113","3,741","23,292","3,936","16,915","2,441",152
,,2016,,"7,374",122,634,,"2,896","3,722","22,948","3,263","17,069","2,616",197
,PITTSBURGH,2015,"306,870",996,21,37,,396,542,"4,437",981,"3,178",278,79
,,2016,,"1,115",29,51,,438,597,"4,487",716,"3,358",413,76
SOUTH CAROLINA,CHARLESTON,2015,"132,585",175,13,22,,42,98,"1,505",226,"1,164",115,1
,,2016,,200,6,18,,51,125,"1,524",166,"1,237",121,3
,COLUMBIA,2015,"132,495",544,4,44,,125,371,"3,323",522,"2,466",335,9
,,2016,,373,5,38,,120,210,"3,411",496,"2,546",369,5
,NORTH CHARLESTON,2015,"109,051",380,4,53,,102,221,"2,608",363,"2,013",232,5
,,2016,,435,15,40,,136,244,"2,961",425,"2,228",308,9
SOUTH DAKOTA,SIOUX FALLS,2015,"172,313",351,1,63,,21,266,"2,561",467,"1,933",161,17
,,2016,,460,2,70,,57,331,"2,664",412,"1,944",308,24
TENNESSEE,CHATTANOOGA,2015,"174,969",795,11,40,,124,620,"5,251",899,"3,910",442,8
,,2016,,873,12,57,,154,650,"4,787",777,"3,532",478,13
,CLARKSVILLE,2015,"150,319",417,6,32,,39,340,"1,900",320,"1,505",75,9
,,2016,,481,6,43,,52,380,"1,799",307,"1,421",71,1
,KNOXVILLE,2015,"185,638",894,10,106,,208,570,"5,469",868,"4,212",389,8
,,2016,,832,7,78,,199,548,"4,854",810,"3,676",368,9
,MEMPHIS,2015,"657,936","5,515",51,250,,"1,401","3,813","17,509","4,735","11,576","1,198",134
,,2016,,"5,733",88,229,,"1,537","3,879","16,833","4,348","11,152","1,333",181
,MURFREESBORO,2015,"123,994",317,3,33,,72,209,"1,960",442,"1,442",76,6
,,2016,,359,2,25,,74,258,"1,830",335,"1,411",84,4
,NASHVILLE,2015,"658,029","3,365",30,266,,779,"2,290","11,505","2,290","8,541",674,22
,,2016,,"3,398",35,216,,799,"2,348","11,480","2,232","8,545",703,36
TEXAS,ABILENE,2015,"121,764",336,6,38,,64,228,"2,805",609,"2,003",193,12
,,2016,,279,6,32,,56,185,"2,242",468,"1,650",124,8
,AMARILLO,2015,"198,770",631,4,94,,137,396,"4,400",898,"3,127",375,14
,,2016,,680,6,85,,136,453,"4,526",899,"3,191",436,16
,AUSTIN,2015,"938,728","1,697",9,266,,445,977,"17,404","2,464","13,704","1,236",34
,,2016,,"1,958",12,339,,511,"1,096","16,933","2,659","13,146","1,128",41
,BEAUMONT,2015,"117,635",572,11,45,,162,354,"2,250",570,"1,582",98,18
,,2016,,649,7,44,,191,407,"2,466",765,"1,561",140,25
,BROWNSVILLE ,2015,"184,941",239,1,24,,76,138,"3,700",501,"3,124",75,9
,,2016,,234,2,28,,66,138,"3,057",463,"2,511",83,4
,CARROLLTON11,2015,"130,676",75,1,,3,28,43,"1,380",229,"1,024",127,2
,,2016,,116,2,23,,32,59,"1,358",245,983,130,2
,COLLEGE STATION,2015,"105,855",109,2,31,,20,56,"1,119",182,894,43,0
,,2016,,118,0,27,,27,64,"1,081",161,861,59,1
,CORPUS CHRISTI,2015,"324,326","1,039",12,155,,205,667,"5,339",945,"4,133",261,28
,,2016,,"1,090",11,135,,195,749,"5,703","1,044","4,317",342,24
,DALLAS,2015,"1,301,977","4,341",68,405,,"2,008","1,860","21,508","5,095","12,778","3,635",196
,,2016,,"4,772",81,381,,"2,150","2,160","22,059","5,401","13,049","3,609",184
,DENTON,2015,"131,194",151,2,46,,33,70,"1,407",174,"1,157",76,0
,,2016,,158,3,46,,26,83,"1,424",265,"1,096",63,0
,EL PASO,2015,"686,077","1,204",8,153,,192,851,"6,240",646,"5,233",361,38
,,2016,,"1,337",6,152,,222,957,"5,950",705,"4,825",420,24
,FORT WORTH,2015,"829,731","2,190",27,291,,481,"1,391","14,926","2,878","10,910","1,138",61
,,2016,,"2,217",36,225,,587,"1,369","13,909","2,473","10,284","1,152",62
,FRISCO,2015,"152,678",58,1,17,,15,25,"1,157",188,945,24,1
,,2016,,65,0,10,,16,39,"1,176",137,"1,012",27,5
,GARLAND,2015,"237,593",344,4,62,,159,119,"3,606",621,"2,606",379,20
,,2016,,367,1,54,,176,136,"3,681",720,"2,538",423,13
,GRAND PRAIRIE,2015,"187,901",237,1,38,,61,137,"1,965",350,"1,384",231,11
,,2016,,306,5,65,,94,142,"2,217",350,"1,634",233,6
,HOUSTON,2015,"2,275,221","10,216",144,374,,"4,777","4,921","48,909","9,597","32,644","6,668",332
,,2016,,"11,578",158,600,,"4,763","6,057","49,299","8,995","33,924","6,380",364
,IRVING,2015,"236,465",216,6,15,,83,112,"2,914",507,"2,132",275,10
,,2016,,258,2,13,,115,128,"3,191",633,"2,250",308,15
,KILLEEN,2015,"140,497",400,10,74,,70,246,"1,793",441,"1,255",97,12
,,2016,,445,5,67,,91,282,"1,797",563,"1,085",149,16
,LAREDO,2015,"256,280",491,4,64,,69,354,"4,291",532,"3,599",160,43
,,2016,,493,7,74,,88,324,"4,126",570,"3,445",111,28
,LEWISVILLE,2015,"104,741",108,1,23,,24,60,"1,136",161,869,106,2
,,2016,,91,0,21,,20,50,"1,334",206,984,144,4
,LUBBOCK,2015,"247,271","1,104",8,90,,167,839,"5,785","1,231","4,138",416,19
,,2016,,"1,306",3,74,,209,"1,020","5,918","1,302","4,186",430,25
,MCALLEN,2015,"140,593",71,2,7,,22,40,"2,277",240,"1,984",53,3
,,2016,,96,1,23,,31,41,"2,227",154,"2,029",44,6
,MCKINNEY,2015,"163,406",141,2,25,,27,87,"1,260",139,"1,064",57,5
,,2016,,117,4,24,,30,59,"1,102",151,879,72,7
,MESQUITE,2015,"145,569",214,3,22,,98,91,"2,876",553,"1,910",413,2
,,2016,,287,0,32,,117,138,"2,756",488,"1,903",365,7
,MIDLAND,2015,"132,625",222,5,20,,27,170,"1,718",347,"1,291",80,3
,,2016,,247,3,15,,49,180,"1,785",300,"1,400",85,6
,ODESSA,2015,"118,606",589,6,32,,79,472,"2,270",383,"1,618",269,13
,,2016,,490,3,39,,59,389,"2,250",447,"1,585",218,12
,PASADENA,2015,"154,986",292,1,38,,81,172,"2,203",351,"1,540",312,25
,,2016,,328,2,49,,102,175,"1,949",308,"1,426",215,13
,PEARLAND,2015,"106,850",81,1,27,,19,34,"1,103",177,889,37,2
,,2016,,92,0,11,,32,49,961,139,765,57,4
,PLANO,2015,"282,968",213,2,46,,64,101,"2,397",354,"1,929",114,9
,,2016,,178,5,30,,52,91,"2,758",485,"2,073",200,9
,RICHARDSON,2015,"111,008",76,0,13,,26,37,"1,092",192,825,75,1
,,2016,,91,2,10,,39,40,"1,201",177,920,104,0
,ROUND ROCK,2015,"115,955",71,1,15,,18,37,"1,062",98,943,21,2
,,2016,,85,0,14,,18,53,"1,363",159,"1,163",41,6
,SAN ANTONIO,2015,"1,463,586","4,005",51,509,,915,"2,530","35,261","5,576","26,572","3,113",119
,,2016,,"5,111",70,572,,"1,051","3,418","36,630","5,449","28,000","3,181",119
,TYLER,2015,"102,481",212,3,27,,38,144,"1,899",322,"1,492",85,0
,,2016,,206,1,33,,52,120,"2,002",305,"1,621",76,1
,WACO,2015,"131,413",394,14,34,,67,279,"2,497",563,"1,870",64,42
,,2016,,346,2,60,,74,210,"2,351",535,"1,757",59,7
,WICHITA FALLS,2015,"105,186",200,1,48,,54,97,"2,057",456,"1,526",75,0
,,2016,,245,3,64,,75,103,"1,775",388,"1,248",139,0
UTAH,PROVO,2015,"115,294",81,0,35,,10,36,"1,095",100,924,71,1
,,2016,,82,0,30,,12,40,"1,449",156,"1,197",96,2
VIRGINIA,ALEXANDRIA,2015,"152,710",131,0,11,,53,67,"1,350",113,"1,133",104,1
,,2016,,137,3,12,,61,61,"1,306",85,"1,089",132,5
,CHESAPEAKE,2015,"235,273",488,6,31,,81,370,"2,810",463,"2,185",162,14
,,2016,,416,7,37,,95,277,"2,979",318,"2,491",170,11
,HAMPTON,2015,"136,381",155,7,16,,71,61,"1,989",289,"1,555",145,14
,,2016,,174,10,19,,73,72,"2,012",245,"1,637",130,6
,NEWPORT NEWS ,2015,"182,975",344,17,35,,98,194,"2,522",438,"1,918",166,25
,,2016,,377,11,38,,126,202,"2,570",410,"1,895",265,25
,NORFOLK,2015,"245,400",629,7,58,,202,362,"4,141",522,"3,473",146,13
,,2016,,766,27,66,,217,456,"4,438",557,"3,650",231,11
,RICHMOND,2015,"220,802",553,16,32,,236,269,"3,645",682,"2,640",323,32
,,2016,,504,24,29,,221,230,"3,065",553,"2,177",335,20
,VIRGINIA BEACH,2015,"452,797",316,12,52,,128,124,"4,625",505,"3,931",189,49
,,2016,,344,8,69,,133,134,"4,798",428,"4,113",257,36
WASHINGTON,BELLEVUE,2015,"138,532",54,2,9,,22,21,"2,089",319,"1,648",122,8
,,2016,,75,0,6,,36,33,"2,165",333,"1,679",153,10
,EVERETT6,2015,"107,633",191,4,19,,65,103,"3,040",477,"2,156",407,20
,,2016,,258,1,30,,75,152,"2,958",464,"1,984",510,8
,KENT,2015,"127,259",156,3,28,,63,62,"2,872",432,"1,973",467,12
,,2016,,162,0,31,,74,57,"3,669",595,"2,397",677,6
,RENTON,2015,"100,015",135,0,24,,50,61,"2,680",559,"1,725",396,2
,,2016,,148,3,18,,60,67,"2,921",454,"1,861",606,20
,SEATTLE,2015,"683,700","2,000",9,67,,782,"1,142","18,074","3,629","12,445","2,000",36
,,2016,,"2,058",15,129,,757,"1,157","19,148","3,921","13,294","1,933",53
,SPOKANE,2015,"212,698",549,5,,55,170,319,"7,585","1,397","5,367",821,24
,,2016,,564,4,,68,153,339,"8,000","1,303","5,758",939,18
,TACOMA,2015,"206,884",760,4,67,,229,460,"6,182","1,188","4,061",933,26
,,2016,,"1,010",5,69,,285,651,"6,795","1,233","4,329","1,233",48
,VANCOUVER,2015,"171,076",356,1,60,,60,235,"2,671",435,"1,875",361,27
,,2016,,319,0,64,,69,186,"2,868",508,"1,859",501,24
WISCONSIN,GREEN BAY,2015,"105,119",216,1,27,,25,163,"1,035",183,807,45,6
,,2016,,244,1,30,,30,183,954,159,768,27,4
,KENOSHA,2015,"100,038",126,1,,26,50,49,920,152,714,54,2
,,2016,,141,0,,12,58,71,"1,042",206,795,41,3
,MADISON,2015,"248,833",432,3,57,,106,266,"3,170",548,"2,520",102,4
,,2016,,395,6,56,,99,234,"3,187",434,"2,593",160,8
,MILWAUKEE,2015,"600,400","4,302",73,189,,"1,674","2,366","11,680","2,587","6,072","3,021",113
,,2016,,"4,427",53,248,,"1,531","2,595","11,359","2,358","6,026","2,975",118
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
